QueryID,ResponseID,QueryName,ResponseName,ReleaseDate,Metacritic,RecommendationCount,ScreenshotCount,SteamSpyOwners,AchievementCount, PriceInitial 
290260,290260,Sokobond,Sokobond,Jul 21 2014,82,186,5,31745,7,9.99
290340,290340,Armello,Armello,Sep 1 2015,75,2645,12,175583,50,19.99
290490,290490,The Flock,The Flock,Aug 21 2015,36,265,8,21701,14,16.99
290530,290530,Clandestine,Clandestine,Nov 5 2015,69,167,18,18114,50,19.99
290710,290710,Cloud Chamber,Cloud Chamber,Aug 7 2014,74,141,30,22419,26,19.99
290770,290770,The Fall,The Fall,May 30 2014,76,2491,10,172176,17,9.99
290790,290790,Grey Goo,Grey Goo,Jan 23 2015,77,2413,16,293237,35,29.99
290890,290890,You Must Build A Boat,You Must Build A Boat,Jun 4 2015,71,492,6,69050,12,4.99
291410,291410,Duelyst,Duelyst,Aug 23 2016,82,1411,5,412863,10,0
291480,291480,Warface,Warface 2016: Anubis,Jul 1 2014,62,24336,41,6385383,30,0
291650,291650,Pillars of Eternity,Pillars of Eternity,Mar 26 2015,89,7812,13,829312,48,44.99
291710,291710,The Lost Crown,The Lost Crown,Jun 6 2014,71,137,20,71919,34,9.99
292030,292030,The Witcher 3: Wild Hunt,The Witcher(r) 3: Wild Hunt,May 18 2015,93,50325,14,2396290,78,39.99
292400,292400,Unrest,Unrest,Jul 23 2014,65,115,11,25826,52,14.99
292500,292500,Kero Blaster,Kero Blaster,Nov 11 2015,82,184,8,12375,10,9.99
293260,293260,Card Hunter,Card Hunter,Jul 13 2015,80,2699,6,780888,50,0
293660,293660,TRI: Of Friendship and Madness,TRI: Of Friendship and Madness,Oct 9 2014,74,232,22,24392,43,14.99
293740,293740,Road Not Taken,Road Not Taken,Aug 5 2014,75,233,7,58109,20,14.99
294370,294370,Crowntakers,Crowntakers,Nov 7 2014,70,234,8,61876,48,9.99
294440,294440,Shadowgate,Shadowgate (2014),Aug 21 2014,68,414,16,110121,60,14.99
294460,294460,Fenix Rage,Fenix Rage,Sep 24 2014,75,121,23,41609,35,14.99
294750,294750,Anomaly Defenders,Anomaly Defenders,May 29 2014,70,143,12,55778,20,9.99
295750,295750,The Floor is Jelly,The Floor is Jelly,May 30 2014,83,242,5,15962,7,9.99
296070,296070,MIND Path to Thalamus E.Edition,MIND: Path to Thalamus Enhanced Edition,Aug 5 2014,75,953,10,120164,23,8.99
